,date_name,date_label,aid,tid,tname,title,duration,mid,name,view,danmaku,reply,favorite,coin,share,like,short_link_v2,pub_location,pubdate,rcmd_reason
1,2019第1期 03.22 - 03.28,第1期(0329更新),46900196,250,出行,这集vlog我们拍了十年，致最美好的青春,504,326257138,AresserA木恩木,5290857,68820,22400,239075,552758,212102,506102,https://b23.tv/BV14b411J7ML,,1553152210,暴风流泪推荐！今天也是为别人的神仙爱情流泪的一天！
2,2019第1期 03.22 - 03.28,第1期(0329更新),47211520,251,三农,华农兄弟：兄弟家的鱼跑河里去了，帮他网回来，一网下去还不少,312,250858633,华农兄弟,2597099,21706,5662,4606,28555,2646,76835,https://b23.tv/BV15b41147uu,,1553427011,村霸兄弟又上线了！这次他们把魔抓伸向了兄弟家的鱼！
3,2019第1期 03.22 - 03.28,第1期(0329更新),46567722,183,影视剪辑,【性转版】回家的诱惑,643,9813844,兰彻lancche,4871783,43825,12855,148899,216302,160208,251293,https://b23.tv/BV1xb411n7L6,湖南,1552823023,无论是创意、配音还是剪辑，全都是超高质量！
4,2019第1期 03.22 - 03.28,第1期(0329更新),47151947,253,动漫杂谈,哆啦A梦结局背后的秘密？从未播出的黑历史？真相出人意料,415,730732,瓶子君152,2632149,5079,3431,52641,134614,4288,161319,https://b23.tv/BV1Qb41177Vm,美国,1553396443,
5,2019第1期 03.22 - 03.28,第1期(0329更新),46797630,212,美食侦探,在中国挑战通宵卖烧烤！为啥美国没有这个？,326,176037767,我是郭杰瑞,2640486,14319,3513,5157,18916,2074,77383,https://b23.tv/BV1Rb411E7yi,,1553050747,
6,2019第1期 03.22 - 03.28,第1期(0329更新),47306249,17,单机游戏,【纯黑】《鬼泣5》一周目无伤S评价攻略解说 第七期,902,585267,-纯黑-,1516056,5860,1960,19113,75642,1067,65414,https://b23.tv/BV1Cb41147EK,,1553501956,
7,2019第1期 03.22 - 03.28,第1期(0329更新),47014688,24,MAD·AMV,化身修罗只为守护你！此刻世界将为之颤抖！,163,15377173,烟季,7218159,16486,6268,320970,417713,31754,409771,https://b23.tv/BV1gb41177rt,,1553256958,
8,2019第1期 03.22 - 03.28,第1期(0329更新),46952333,17,单机游戏,破案大师老番茄,1114,546195,老番茄,6595738,15765,4164,26946,51655,2992,139711,https://b23.tv/BV1Sb411j75C,,1553227211,
9,2019第1期 03.22 - 03.28,第1期(0329更新),47126553,171,电子竞技,[LPL春季赛] 3月23日 RNG vs IG,9492,50329118,哔哩哔哩英雄联盟赛事,4032433,108731,46563,21415,25992,5849,40888,https://b23.tv/BV19b411774z,上海,1553347231,
10,2019第1期 03.22 - 03.28,第1期(0329更新),45031807,130,音乐综合,the real suger baby已知最高画质,29,30194033,一嗷垚,29464263,21896,19715,679359,241458,104621,776103,https://b23.tv/BV16b411b71j,,1551437298,
11,2019第2期 03.29 - 04.04,第2期(0405更新),47661833,218,喵星人,女主人扮恐龙把猫吓的到处飞，直接六亲不认，一脱衣服，猫：妈？,311,9008159,花花与三猫CatLive,2742667,12840,4202,25433,89614,12193,121723,https://b23.tv/BV1Qb411x71C,,1553851043,调皮铲屎官又耍花招，装扮成恐龙吓唬猫咪！还是亲妈最会玩_(:3」∠)_
12,2019第2期 03.29 - 04.04,第2期(0405更新),47749169,219,汪星人,华农兄弟：狗狗走丢了一只，用无人机去找一下，看能不能找到,204,250858633,华农兄弟,2897350,11440,14796,6316,39307,1899,101627,https://b23.tv/BV12b411W7WM,,1553943621,心疼村霸，希望剩下的那只狗子能够早日回家(´；ω；`)
13,2019第2期 03.29 - 04.04,第2期(0405更新),47916943,171,电子竞技,【真人炉石】暗影崛起-最秀新卡发布！,286,3380239,神奇的老皮,4888779,13386,12106,140679,439019,70159,312482,https://b23.tv/BV1Bb411s7m9,,1554080432,强力推荐！真人版炉石传说，大片级特效秀翻全场！
14,2019第2期 03.29 - 04.04,第2期(0405更新),48092641,76,美食制作,哎呀妈呀！不用烤箱也能做出这么棒的【流心芝士挞】吗？,191,17409016,爱做饭的芋头SAMA,3353957,3558,3415,83738,73594,13129,148444,https://b23.tv/BV1rb411p7W9,,1554205977,新技能get√ 高颜值甜品做法居然这么简单，你学会了吗？
15,2019第2期 03.29 - 04.04,第2期(0405更新),47919350,205,社会,1818黄金眼【在路上：打完电话 他爆发了】,257,354077280,1818黄金眼,393490,2692,3424,2799,3593,4700,8194,https://b23.tv/BV16b411s7NL,,1554080252,成年人的生活中没有“容易”二字，几分钟的视频触动了无数网友 。
16,2019第2期 03.29 - 04.04,第2期(0405更新),47794330,171,电子竞技,[LPL春季赛] 3月30日 IG vs EDG,10433,50329118,哔哩哔哩英雄联盟赛事,2897866,62777,14911,21707,26798,6753,36423,https://b23.tv/BV1Db411W7FN,上海,1553953444,20血极限翻盘！众所周知，英雄联盟是一款恐怖、紧张、刺激的回合制游戏……
17,2019第2期 03.29 - 04.04,第2期(0405更新),47641877,138,搞笑,号外！全新弹幕功能进入内测阶段！,169,8047632,哔哩哔哩弹幕网,858985,9347,20728,4493,6305,3399,32098,https://b23.tv/BV11b411x7VP,上海,1554048019,全新弹幕功能
