date_name,aid,tid,tname,title,duration,owner_mid,owner_name,view,danmaku,reply,favorite,coin,share,like,short_link,pub_location,pubdate,rcmd_reason,t_fa,pudate
2019第1期 03.22 - 03.28,46900196,250,出行,这集vlog我们拍了十年，致最美好的青春,504,326257138,AresserA木恩木,5294955,68896,22408,239015,552801,212144,506232,https://b23.tv/BV14b411J7ML,,1553152210,暴风流泪推荐！今天也是为别人的神仙爱情流泪的一天！,生活,2019-03-21
2019第1期 03.22 - 03.28,47211520,251,三农,华农兄弟：兄弟家的鱼跑河里去了，帮他网回来，一网下去还不少,312,250858633,华农兄弟,2597793,21706,5662,4608,28560,2647,76857,https://b23.tv/BV15b41147uu,,1553427011,村霸兄弟又上线了！这次他们把魔抓伸向了兄弟家的鱼！,生活,2019-03-24
2019第1期 03.22 - 03.28,46567722,183,影视剪辑,【性转版】回家的诱惑,643,9813844,兰彻lancche,4873354,43832,12857,148847,216321,160217,251332,https://b23.tv/BV1xb411n7L6,湖南,1552823023,无论是创意、配音还是剪辑，全都是超高质量！,影视,2019-03-17
2019第1期 03.22 - 03.28,47151947,253,动漫杂谈,哆啦A梦结局背后的秘密？从未播出的黑历史？真相出人意料,415,730732,瓶子君152,2633658,5086,3433,52635,134629,4288,161384,https://b23.tv/BV1Qb41177Vm,美国,1553396443,,动画,2019-03-24
2019第1期 03.22 - 03.28,46797630,212,美食侦探,在中国挑战通宵卖烧烤！为啥美国没有这个？,326,176037767,我是郭杰瑞,2640866,14319,3514,5154,18919,2074,77393,https://b23.tv/BV1Rb411E7yi,,1553050747,,美食,2019-03-20
2019第1期 03.22 - 03.28,47306249,17,单机游戏,【纯黑】《鬼泣5》一周目无伤S评价攻略解说 第七期,902,585267,-纯黑-,1518105,5862,1960,19116,75658,1067,65474,https://b23.tv/BV1Cb41147EK,,1553501956,,游戏,2019-03-25
2019第1期 03.22 - 03.28,47014688,24,MAD·AMV,化身修罗只为守护你！此刻世界将为之颤抖！,163,15377173,烟季,7221617,16497,6271,320796,417735,31758,409815,https://b23.tv/BV1gb41177rt,,1553256958,,动画,2019-03-22
2019第1期 03.22 - 03.28,46952333,17,单机游戏,破案大师老番茄,1114,546195,老番茄,6598787,15765,4162,26958,51669,2995,139792,https://b23.tv/BV1Sb411j75C,,1553227211,,游戏,2019-03-22
2019第1期 03.22 - 03.28,47126553,171,电子竞技,[LPL春季赛] 3月23日 RNG vs IG,9492,50329118,哔哩哔哩英雄联盟赛事,4034582,108745,46563,21404,25998,5852,40898,https://b23.tv/BV19b411774z,上海,1553347231,,游戏,2019-03-23
2019第1期 03.22 - 03.28,45031807,130,音乐综合,the real suger baby已知最高画质,29,30194033,一嗷垚,29469610,21897,19715,678794,241474,104644,776188,https://b23.tv/BV16b411b71j,,1551437298,,音乐,2019-03-01
2019第4期 04.12 - 04.18,49477616,206,综合,巴黎圣母院遭遇严重火灾损失惨重 法国总统马克龙含泪宣布重建,108,222103174,央视网,821249,4459,0,3436,2005,3061,12214,https://b23.tv/BV1nb411j7Dc,,1555380666,这是一场全世界为之揪心的大火。愿文物都能够远离灾难，代代传承。,资讯,2019-04-16
2019第4期 04.12 - 04.18,49501417,206,综合,巴黎圣母院重建，《刺客信条》或将提供参考,144,10330740,观察者网,804989,1242,3229,5740,2418,6794,18818,https://b23.tv/BV1tb411j7Rq,上海,1555399797,在巴黎圣母院暂时离开的这段时间里，至少还能在游戏里与她相见。,资讯,2019-04-16
2019第4期 04.12 - 04.18,49391301,250,出行,体验在印度最大的贫民窟生活一天,308,4249401,20岁了还没去过星巴克,4803904,30204,10556,30131,134668,25535,211347,https://b23.tv/BV1Pb411j7dE,江苏,1555306646,在印度贫民窟住上一晚绝对是需要勇气的，UP主我敬你是条汉子。,生活,2019-04-15
2019第4期 04.12 - 04.18,49067889,203,热点,【城市拟人】《江山行歌》排骨教主/银临/winky诗/不才/三无MarBlue/KBShinya,269,20165629,共青团中央,1770866,27633,9196,112461,119710,19512,149365,https://b23.tv/BV1Hb411K771,,1555071340,音乐区UP主联合出品，江山行歌尽显历史名城风光。你的城市也在这首歌里吗？,资讯,2019-04-12
2019第4期 04.12 - 04.18,49540289,161,手工,龙头烧烤器,123,280793434,手工耿,3293914,10383,5549,18172,76630,29239,140720,https://b23.tv/BV1zb411j7Lb,,1555423282,耿哥出品的最新神器，戴上之后立刻变身酷炫喷火龙，看完想马上拥有一个。,生活,2019-04-16
2019第4期 04.12 - 04.18,49067853,22,鬼畜调教,【央视段子手】朱广权：我就是要用rap播新闻！,151,2827946,鋃月,4311860,12557,3209,156209,200473,49414,311844,https://b23.tv/BV1Hb411K77s,,1555058207,朱广权rap新单曲，又帅又有才唱歌还好听的央视段子手谁不爱呢？,鬼畜,2019-04-12
2019第4期 04.12 - 04.18,49528094,95,数码,华为P30天文望远镜试用，月亮上的陨石坑到底有没有造假,275,1110510,小狼TOWER,1841755,11201,5891,18420,29843,19074,50514,https://b23.tv/BV11b411j7to,,1555416077,潜望式摄像头+天文望远镜真能拍到月球陨石坑？答案等你自己来揭晓！,科技,2019-04-16
2019第4期 04.12 - 04.18,49411647,171,电子竞技,什么鬼套路：LOL史上最强回血套路  万毒归宗！！！,608,102885422,点滴菌,7931370,24184,15978,183088,381247,93294,309716,https://b23.tv/BV1cb411j7JQ,,1555318259,回血套路握在手，敌方高地横着走。对面5个英雄听着，你们被我1个人包围啦！,游戏,2019-04-15
2019第4期 04.12 - 04.18,49016435,31,翻唱,【喵会长】妹子竟被逼着翻唱保加利亚妖王！⁄(⁄ ⁄•⁄ω⁄•⁄ ⁄)⁄！,200,21330948,隔壁班的喵会长,1989089,8866,5414,52907,136078,13019,268317,https://b23.tv/BV1vb411M79s,山西,1555135227,震惊，居然有人用萌妹音翻唱这首歌！居然还谜之好听是怎么回事w(ﾟДﾟ)w,音乐,2019-04-13
2019第4期 04.12 - 04.18,49450671,213,美食测评,一斤土鸡，一斤黑毛猪，大sao吃吊锅配大蒜，老板都呆了，真过瘾,281,390461123,徐大sao,1398276,6130,2231,1504,10922,877,25148,https://b23.tv/BV1Hb411j7Wg,,1555410629,没胃口的时候记得来看大sao的视频！好酒好菜家人相伴，幸福可以很简单。,美食,2019-04-16
2019第4期 04.12 - 04.18,48922034,17,单机游戏,狂野牛仔老番茄,1193,546195,老番茄,3386397,13598,3101,15479,36471,1744,85036,https://b23.tv/BV1Kb411M7mB,,1555041636,捏脸大师老番茄重出江湖，一身原谅色睡衣征战狂野西部。,游戏,2019-04-12
2019第4期 04.12 - 04.18,49548358,251,三农,【up主变形记】看6位叛逆Up主如何在农村改造，重新做人！,149,19642758,力元君,3574896,7702,4376,1169,59791,6341,130273,https://b23.tv/BV1gb41157q8,,1555493426,6位UP主，挑战5天4夜农村变形之旅，会碰撞出怎样的火花？敲碗等正片！,生活,2019-04-17
2019第4期 04.12 - 04.18,49576609,222,小宠异宠,猫中毒太深，主人为其运功疗伤。白胖！你能正常点吗？,77,37840358,白胖过来,3329124,5496,3070,35744,80272,36835,153647,https://b23.tv/BV1ub41157D1,广东,1555466886,摊上这样一个沙雕戏精主人真是不容易，白胖无可奈何只有配合。,动物圈,2019-04-17
2019第4期 04.12 - 04.18,49365256,21,日常,初中到大学的爱情，你的初恋男友。,200,406573610,一岚子花,554401,4100,4497,7623,17635,5819,25999,https://b23.tv/BV1mb411L7uf,,1555281487,柠檬树上柠檬果，柠檬树下你和我。又是为别人的爱情流泪的一天。,生活,2019-04-15
2019第8期 05.10 - 05.16,52439392,183,影视剪辑,【治愈/萌/看完要超开心哦！】不要忧虑，要开心！【1080p/混剪】,220,13829896,白日妄想家,1822702,3099,1872,100332,85102,29373,116670,https://b23.tv/BV1k4411E7eV,,1557816117,这些年的影视萌物角色大集结，总有一个能够俘获你的心。,影视,2019-05-14
